scan_rights_id,scan_title,index_url,index_revision_id,commons_file_title,commons_description_url,commons_page_id,index_author,index_editor,index_translator,index_illustrator,index_publisher,index_city,index_year,index_source,commons_artist,commons_credit,commons_license_short_name,commons_license_code,commons_usage_terms,commons_copyrighted,commons_attribution_required,commons_categories,site_license,site_license_url,underlying_work_evidence,edition_rights_evidence,scan_file_rights_evidence,required_notice,modification_notice,downstream_note,evidence_retrieved_utc,rights_decision,rights_reason
itws-scan:257481,A Carlo Alberto di Savoia un Italiano.djvu,https://it.wikisource.org/wiki/Indice:A_Carlo_Alberto_di_Savoia_un_Italiano.djvu,2548542,File:A Carlo Alberto di Savoia un Italiano.djvu,https://commons.wikimedia.org/wiki/File:A_Carlo_Alberto_di_Savoia_un_Italiano.djvu,17687714,Giuseppe Mazzini,,,,Marc-Aurel,Parigi,1847,{{GB|oBVbAAAAQAAJ}},Giuseppe Mazzini,Google Books,Public domain,pd,Public domain,False,false,1847 books|PD-old-100-expired|PD-scan (PD-old-100-expired)|DjVu files in Italian|CC-PD-Mark|Books without Wikidata item|Books by Giuseppe Mazzini|Documents issued by Carlo Alberto I of Sardinia,Creative Commons Attribution-Share Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.it,Wikisource work period=1847; author=Giuseppe Mazzini; Commons license=Public domain,editor=; translator=; illustrator=; publisher=Marc-Aurel,https://commons.wikimedia.org/wiki/File:A_Carlo_Alberto_di_Savoia_un_Italiano.djvu,Attribute Italian Wikisource contributors through the stable work page/history; retain the CC BY-SA 4.0 license link and exact source-scan credit.,MediaWiki/ProofreadPage markup and identified apparatus were removed; spelling and punctuation of retained primary text were preserved.,Processed text remains inactive pending cross-archive and training-lineage freeze; redistributed adaptations must preserve applicable ShareAlike obligations.,2026-08-11T11:01:40Z,rights_pass,Commons marks the exact scan file non-copyrighted/public domain and Wikisource pins CC BY-SA 4.0 transcription terms.
itws-scan:515484,AA. VV. - Lirici marinisti.djvu,https://it.wikisource.org/wiki/Indice:AA._VV._-_Lirici_marinisti.djvu,2837511,File:AA. VV. - Lirici marinisti.djvu,https://commons.wikimedia.org/wiki/File:AA._VV._-_Lirici_marinisti.djvu,59566017,Autori vari,Benedetto Croce,,,Laterza,Bari,1910,{{IA|liricimarinistic00crocuoft}},various authors,Internet Archive identifier: liricimarinistic00crocuoft,Public domain,pd,Public domain,False,false,Scrittori d'Italia (Laterza)|1910 books|Books with Wikidata item|PD-scan (PD-US-expired)|DjVu files in Italian|Scans from the Internet Archive/unverified|PD US expired|Scans from the Internet Archive|Artworks digital representation of unclassified work,Creative Commons Attribution-Share Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.it,Wikisource work period=1910; author=Autori vari; Commons license=Public domain,editor=Benedetto Croce; translator=; illustrator=; publisher=Laterza,https://commons.wikimedia.org/wiki/File:AA._VV._-_Lirici_marinisti.djvu,Attribute Italian Wikisource contributors through the stable work page/history; retain the CC BY-SA 4.0 license link and exact source-scan credit.,MediaWiki/ProofreadPage markup and identified apparatus were removed; spelling and punctuation of retained primary text were preserved.,Processed text remains inactive pending cross-archive and training-lineage freeze; redistributed adaptations must preserve applicable ShareAlike obligations.,2026-08-11T11:01:40Z,rights_pass,Commons marks the exact scan file non-copyrighted/public domain and Wikisource pins CC BY-SA 4.0 transcription terms.
itws-scan:600609,"AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu","https://it.wikisource.org/wiki/Indice:AA._VV._%E2%80%93_Sonetti_burleschi_e_realistici_dei_primi_due_secoli,_Vol._I,_1920_%E2%80%93_BEIC_1928288.djvu",3867578,"File:AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu","https://commons.wikimedia.org/wiki/File:AA._VV._%E2%80%93_Sonetti_burleschi_e_realistici_dei_primi_due_secoli,_Vol._I,_1920_%E2%80%93_BEIC_1928288.djvu",69928333,Autori vari,Aldo Francesco Massera,,,Laterza,Bari,1920,{{IA|088SonettiBurleschi1Si240}},,Available in the BEIC digital library and uploaded in partnership with BEIC Foundation.,Public domain,pd,Public domain,False,false,Scrittori d'Italia (Laterza)|Files with no machine-readable author|Media from BEIC|PD-old-100-expired|PD-scan (PD-old-100-expired)|DjVu files in Italian|CC-PD-Mark|Books published in Bari|1920 books from Italy|Books without Wikidata item,Creative Commons Attribution-Share Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.it,Wikisource work period=1920; author=Autori vari; Commons license=Public domain,editor=Aldo Francesco Massera; translator=; illustrator=; publisher=Laterza,"https://commons.wikimedia.org/wiki/File:AA._VV._%E2%80%93_Sonetti_burleschi_e_realistici_dei_primi_due_secoli,_Vol._I,_1920_%E2%80%93_BEIC_1928288.djvu",Attribute Italian Wikisource contributors through the stable work page/history; retain the CC BY-SA 4.0 license link and exact source-scan credit.,MediaWiki/ProofreadPage markup and identified apparatus were removed; spelling and punctuation of retained primary text were preserved.,Processed text remains inactive pending cross-archive and training-lineage freeze; redistributed adaptations must preserve applicable ShareAlike obligations.,2026-08-11T11:01:40Z,rights_pass,Commons marks the exact scan file non-copyrighted/public domain and Wikisource pins CC BY-SA 4.0 transcription terms.
itws-scan:600610,"AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. II, 1920 – BEIC 1928827.djvu","https://it.wikisource.org/wiki/Indice:AA._VV._%E2%80%93_Sonetti_burleschi_e_realistici_dei_primi_due_secoli,_Vol._II,_1920_%E2%80%93_BEIC_1928827.djvu",3867579,"File:AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. II, 1920 – BEIC 1928827.djvu","https://commons.wikimedia.org/wiki/File:AA._VV._%E2%80%93_Sonetti_burleschi_e_realistici_dei_primi_due_secoli,_Vol._II,_1920_%E2%80%93_BEIC_1928827.djvu",69928530,Autori vari,Aldo Francesco Massera,,,Laterza,Bari,1920,{{IA|089SonettiBurleschi2Si241}},,Available in the BEIC digital library and uploaded in partnership with BEIC Foundation.,Public domain,pd,Public domain,False,false,"Scrittori d'Italia (Laterza)|Files with no machine-readable author|Media from BEIC|PD-old-100-expired|PD-scan (PD-old-100-expired)|DjVu files in Italian|CC-PD-Mark|Books published in Bari|1920 books from Italy|Books without Wikidata item|Miserere mei, Deus",Creative Commons Attribution-Share Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.it,Wikisource work period=1920; author=Autori vari; Commons license=Public domain,editor=Aldo Francesco Massera; translator=; illustrator=; publisher=Laterza,"https://commons.wikimedia.org/wiki/File:AA._VV._%E2%80%93_Sonetti_burleschi_e_realistici_dei_primi_due_secoli,_Vol._II,_1920_%E2%80%93_BEIC_1928827.djvu",Attribute Italian Wikisource contributors through the stable work page/history; retain the CC BY-SA 4.0 license link and exact source-scan credit.,MediaWiki/ProofreadPage markup and identified apparatus were removed; spelling and punctuation of retained primary text were preserved.,Processed text remains inactive pending cross-archive and training-lineage freeze; redistributed adaptations must preserve applicable ShareAlike obligations.,2026-08-11T11:01:40Z,rights_pass,Commons marks the exact scan file non-copyrighted/public domain and Wikisource pins CC BY-SA 4.0 transcription terms.
itws-scan:506841,"AA.VV. - Commedie del Cinquecento, Vol. I, Laterza, 1912.djvu","https://it.wikisource.org/wiki/Indice:AA.VV._-_Commedie_del_Cinquecento,_Vol._I,_Laterza,_1912.djvu",3038567,"File:AA.VV. - Commedie del Cinquecento, Vol. I, Laterza, 1912.djvu","https://commons.wikimedia.org/wiki/File:AA.VV._-_Commedie_del_Cinquecento,_Vol._I,_Laterza,_1912.djvu",52462262,Autori vari,Ireneo Sanesi,,,Laterza,Bari,1912,{{IA|commediedelcinqu01saneuoft}},"Sanesi, Ireneo, 1868-",Internet Archive identifier: commediedelcinqu01saneuoft,Public domain,pd,Public domain,False,false,Scrittori d'Italia (Laterza)|1912 books|PD-old-100-expired|PD-scan (PD-old-100-expired)|DjVu files in Italian|Scans from the Internet Archive/unverified|CC-PD-Mark|Scans from the Internet Archive|Books without Wikidata item,Creative Commons Attribution-Share Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.it,Wikisource work period=1912; author=Autori vari; Commons license=Public domain,editor=Ireneo Sanesi; translator=; illustrator=; publisher=Laterza,"https://commons.wikimedia.org/wiki/File:AA.VV._-_Commedie_del_Cinquecento,_Vol._I,_Laterza,_1912.djvu",Attribute Italian Wikisource contributors through the stable work page/history; retain the CC BY-SA 4.0 license link and exact source-scan credit.,MediaWiki/ProofreadPage markup and identified apparatus were removed; spelling and punctuation of retained primary text were preserved.,Processed text remains inactive pending cross-archive and training-lineage freeze; redistributed adaptations must preserve applicable ShareAlike obligations.,2026-08-11T11:01:40Z,rights_pass,Commons marks the exact scan file non-copyrighted/public domain and Wikisource pins CC BY-SA 4.0 transcription terms.
itws-scan:506844,"AA.VV. - Commedie del Cinquecento, Vol. II, Laterza, 1912.djvu","https://it.wikisource.org/wiki/Indice:AA.VV._-_Commedie_del_Cinquecento,_Vol._II,_Laterza,_1912.djvu",2862464,"File:AA.VV. - Commedie del Cinquecento, Vol. II, Laterza, 1912.djvu","https://commons.wikimedia.org/wiki/File:AA.VV._-_Commedie_del_Cinquecento,_Vol._II,_Laterza,_1912.djvu",52462270,Autori vari,Ireneo Sanesi,,,Laterza,Bari,1912,{{IA|commediedelcinqu02saneuoft}},AA. VV.,Internet Archive identifier: commediedelcinqu02saneuoft,Public domain,pd,Public domain,False,false,Scrittori d'Italia (Laterza)|1912 books|PD-old-100-expired|PD-scan (PD-old-100-expired)|DjVu files in Italian|Scans from the Internet Archive/unverified|CC-PD-Mark|Scans from the Internet Archive|Books without Wikidata item,Creative Commons Attribution-Share Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.it,Wikisource work period=1912; author=Autori vari; Commons license=Public domain,editor=Ireneo Sanesi; translator=; illustrator=; publisher=Laterza,"https://commons.wikimedia.org/wiki/File:AA.VV._-_Commedie_del_Cinquecento,_Vol._II,_Laterza,_1912.djvu",Attribute Italian Wikisource contributors through the stable work page/history; retain the CC BY-SA 4.0 license link and exact source-scan credit.,MediaWiki/ProofreadPage markup and identified apparatus were removed; spelling and punctuation of retained primary text were preserved.,Processed text remains inactive pending cross-archive and training-lineage freeze; redistributed adaptations must preserve applicable ShareAlike obligations.,2026-08-11T11:01:40Z,rights_pass,Commons marks the exact scan file non-copyrighted/public domain and Wikisource pins CC BY-SA 4.0 transcription terms.
itws-scan:380971,"AAVV - Lettere inedite di santi, papi, principi, illustri guerrieri e letterati, 1861.djvu","https://it.wikisource.org/wiki/Indice:AAVV_-_Lettere_inedite_di_santi,_papi,_principi,_illustri_guerrieri_e_letterati,_1861.djvu",2844844,"File:AAVV - Lettere inedite di santi, papi, principi, illustri guerrieri e letterati, 1861.djvu","https://commons.wikimedia.org/wiki/File:AAVV_-_Lettere_inedite_di_santi,_papi,_principi,_illustri_guerrieri_e_letterati,_1861.djvu",38866636,Autori vari,,,,Tipografia eredi Botta,Torino,1861,{{BEIC|2542922}},,Available in the BEIC digital library and uploaded in partnership with BEIC Foundation. Internet Archive identifier: lettereineditedi00cibruoft,Public domain,pd,Public domain,False,false,Luigi Cibrario|Files with no machine-readable author|PD-old-70-expired|Scans by the Internet Archive selected by BEIC|PD-scan (PD-old-70-expired)|Scans from the Internet Archive/unverified|CC-PD-Mark|1861 books from Italy|Scans from the Internet Archive|Scans by the Internet Archive selected by BEIC (it)|Books without Wikidata item|1861 books from Turin,Creative Commons Attribution-Share Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.it,Wikisource work period=1861; author=Autori vari; Commons license=Public domain,editor=; translator=; illustrator=; publisher=Tipografia eredi Botta,"https://commons.wikimedia.org/wiki/File:AAVV_-_Lettere_inedite_di_santi,_papi,_principi,_illustri_guerrieri_e_letterati,_1861.djvu",Attribute Italian Wikisource contributors through the stable work page/history; retain the CC BY-SA 4.0 license link and exact source-scan credit.,MediaWiki/ProofreadPage markup and identified apparatus were removed; spelling and punctuation of retained primary text were preserved.,Processed text remains inactive pending cross-archive and training-lineage freeze; redistributed adaptations must preserve applicable ShareAlike obligations.,2026-08-11T11:01:40Z,rights_pass,Commons marks the exact scan file non-copyrighted/public domain and Wikisource pins CC BY-SA 4.0 transcription terms.
itws-scan:524238,Abba - Le rive della Bormida.djvu,https://it.wikisource.org/wiki/Indice:Abba_-_Le_rive_della_Bormida.djvu,2689072,File:Abba - Le rive della Bormida.djvu,https://commons.wikimedia.org/wiki/File:Abba_-_Le_rive_della_Bormida.djvu,61459180,Giuseppe Cesare Abba,,,,Civelli,Milano,1875,{{IA|rivebormidaitws}},Giuseppe Cesare Abba,Internet Archive identifier: rivebormidaitws,Public domain,pd,Public domain,False,false,Author died more than 70 years ago public domain images|1875 books|DjVu files in Italian|Scans from the Internet Archive/unverified|PD US expired|CC-PD-Mark|Scans from the Internet Archive|Books without Wikidata item|Books by Giuseppe Cesare Abba,Creative Commons Attribution-Share Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.it,Wikisource work period=1875; author=Giuseppe Cesare Abba; Commons license=Public domain,editor=; translator=; illustrator=; publisher=Civelli,https://commons.wikimedia.org/wiki/File:Abba_-_Le_rive_della_Bormida.djvu,Attribute Italian Wikisource contributors through the stable work page/history; retain the CC BY-SA 4.0 license link and exact source-scan credit.,MediaWiki/ProofreadPage markup and identified apparatus were removed; spelling and punctuation of retained primary text were preserved.,Processed text remains inactive pending cross-archive and training-lineage freeze; redistributed adaptations must preserve applicable ShareAlike obligations.,2026-08-11T11:01:40Z,rights_pass,Commons marks the exact scan file non-copyrighted/public domain and Wikisource pins CC BY-SA 4.0 transcription terms.
itws-scan:804328,"Abissinia, giornale di un viaggio di Pippo Vigoni, Milano, Hoepli, 1881.djvu","https://it.wikisource.org/wiki/Indice:Abissinia,_giornale_di_un_viaggio_di_Pippo_Vigoni,_Milano,_Hoepli,_1881.djvu",3419397,"File:Abissinia, giornale di un viaggio di Pippo Vigoni, Milano, Hoepli, 1881.djvu","https://commons.wikimedia.org/wiki/File:Abissinia,_giornale_di_un_viaggio_di_Pippo_Vigoni,_Milano,_Hoepli,_1881.djvu",112303292,Giuseppe Vigoni,,,,Ulrico Hoepli,Milano,1881,{{Braidense|http://www.braidense.it/dire/abissinia.pdf}},Pippo Vigoni,http://www.braidense.it/dire/abissinia.pdf,Public domain,pd,Public domain,False,false,PD-old-70-expired|DjVu files in Italian|Images with extracted images|CC-PD-Mark|PD-old missing SDC copyright status,Creative Commons Attribution-Share Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.it,Wikisource work period=1881; author=Giuseppe Vigoni; Commons license=Public domain,editor=; translator=; illustrator=; publisher=Ulrico Hoepli,"https://commons.wikimedia.org/wiki/File:Abissinia,_giornale_di_un_viaggio_di_Pippo_Vigoni,_Milano,_Hoepli,_1881.djvu",Attribute Italian Wikisource contributors through the stable work page/history; retain the CC BY-SA 4.0 license link and exact source-scan credit.,MediaWiki/ProofreadPage markup and identified apparatus were removed; spelling and punctuation of retained primary text were preserved.,Processed text remains inactive pending cross-archive and training-lineage freeze; redistributed adaptations must preserve applicable ShareAlike obligations.,2026-08-11T11:01:40Z,rights_pass,Commons marks the exact scan file non-copyrighted/public domain and Wikisource pins CC BY-SA 4.0 transcription terms.
itws-scan:612432,"Abrabanel, Juda ben Isaac – Dialoghi d'amore, 1929 – BEIC 1855777.djvu","https://it.wikisource.org/wiki/Indice:Abrabanel,_Juda_ben_Isaac_%E2%80%93_Dialoghi_d'amore,_1929_%E2%80%93_BEIC_1855777.djvu",3130465,"File:Abrabanel, Juda ben Isaac – Dialoghi d'amore, 1929 – BEIC 1855777.djvu","https://commons.wikimedia.org/wiki/File:Abrabanel,_Juda_ben_Isaac_%E2%80%93_Dialoghi_d%27amore,_1929_%E2%80%93_BEIC_1855777.djvu",70718272,Leone Ebreo,Santino Caramella,,,Laterza,Bari,1929,{{IA|114AbrabanelDialoghiSi158}},Isaac Abrabanel,Available in the BEIC digital library and uploaded in partnership with BEIC Foundation.,Public domain,pd,Public domain,False,false,Scrittori d'Italia (Laterza)|Isaac Abrabanel|Media from BEIC|PD-old-100-expired|PD-scan (PD-old-100-expired)|DjVu files in Italian|CC-PD-Mark|Books published in Bari|1929 books from Italy|Books without Wikidata item,Creative Commons Attribution-Share Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.it,Wikisource work period=1929; author=Leone Ebreo; Commons license=Public domain,editor=Santino Caramella; translator=; illustrator=; publisher=Laterza,"https://commons.wikimedia.org/wiki/File:Abrabanel,_Juda_ben_Isaac_%E2%80%93_Dialoghi_d%27amore,_1929_%E2%80%93_BEIC_1855777.djvu",Attribute Italian Wikisource contributors through the stable work page/history; retain the CC BY-SA 4.0 license link and exact source-scan credit.,MediaWiki/ProofreadPage markup and identified apparatus were removed; spelling and punctuation of retained primary text were preserved.,Processed text remains inactive pending cross-archive and training-lineage freeze; redistributed adaptations must preserve applicable ShareAlike obligations.,2026-08-11T11:01:40Z,rights_pass,Commons marks the exact scan file non-copyrighted/public domain and Wikisource pins CC BY-SA 4.0 transcription terms.
itws-scan:514313,Acri - Volgarizzamenti da Platone.djvu,https://it.wikisource.org/wiki/Indice:Acri_-_Volgarizzamenti_da_Platone.djvu,2817741,File:Acri - Volgarizzamenti da Platone.djvu,https://commons.wikimedia.org/wiki/File:Acri_-_Volgarizzamenti_da_Platone.djvu,59397064,Francesco Acri,,,,Naucksche Buchdruckerei,Berlino,1862,{{IA|VolgarizzamentiDaPlatone}},Francesco Acri,Internet Archive identifier: VolgarizzamentiDaPlatone,Public domain,pd,Public domain,False,false,Francesco Acri|PD-old-100-expired|Uploaded with IA Upload|PD-scan (PD-old-auto-expired)|DjVu files in Italian|Scans from the Internet Archive/unverified|Images with extracted images|CC-PD-Mark|Scans from the Internet Archive|Books without Wikidata item|Acri - Volgarizzamenti da Platone (1862),Creative Commons Attribution-Share Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.it,Wikisource work period=1862; author=Francesco Acri; Commons license=Public domain,editor=; translator=; illustrator=; publisher=Naucksche Buchdruckerei,https://commons.wikimedia.org/wiki/File:Acri_-_Volgarizzamenti_da_Platone.djvu,Attribute Italian Wikisource contributors through the stable work page/history; retain the CC BY-SA 4.0 license link and exact source-scan credit.,MediaWiki/ProofreadPage markup and identified apparatus were removed; spelling and punctuation of retained primary text were preserved.,Processed text remains inactive pending cross-archive and training-lineage freeze; redistributed adaptations must preserve applicable ShareAlike obligations.,2026-08-11T11:01:40Z,rights_pass,Commons marks the exact scan file non-copyrighted/public domain and Wikisource pins CC BY-SA 4.0 transcription terms.
itws-scan:102883,Africa orrenda.djvu,https://it.wikisource.org/wiki/Indice:Africa_orrenda.djvu,2841418,File:Africa orrenda.djvu,https://commons.wikimedia.org/wiki/File:Africa_orrenda.djvu,6728431,Mario Rapisardi,,,,Niccolò Giannotta,Catania,1896,{{IA|africaorrendaver00rapiuoft}},Mario Rapisardi,Internet Archive,Public domain,pd,Public domain,False,false,1896 books|PD-old-100-expired|Uploaded with IA Upload|PD-scan (PD-old-100-expired)|DjVu files in Italian|CC-PD-Mark|Books without Wikidata item|Works by Mario Rapisardi|Books published by Niccolò Giannotta|Books published in Catania,Creative Commons Attribution-Share Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.it,Wikisource work period=1896; author=Mario Rapisardi; Commons license=Public domain,editor=; translator=; illustrator=; publisher=Niccolò Giannotta,https://commons.wikimedia.org/wiki/File:Africa_orrenda.djvu,Attribute Italian Wikisource contributors through the stable work page/history; retain the CC BY-SA 4.0 license link and exact source-scan credit.,MediaWiki/ProofreadPage markup and identified apparatus were removed; spelling and punctuation of retained primary text were preserved.,Processed text remains inactive pending cross-archive and training-lineage freeze; redistributed adaptations must preserve applicable ShareAlike obligations.,2026-08-11T11:01:40Z,rights_pass,Commons marks the exact scan file non-copyrighted/public domain and Wikisource pins CC BY-SA 4.0 transcription terms.
itws-scan:651956,"Aganoor - Leggenda eterna, Torino, Roux, 1903.djvu","https://it.wikisource.org/wiki/Indice:Aganoor_-_Leggenda_eterna,_Torino,_Roux,_1903.djvu",2992176,"File:Aganoor - Leggenda eterna, Torino, Roux, 1903.djvu","https://commons.wikimedia.org/wiki/File:Aganoor_-_Leggenda_eterna,_Torino,_Roux,_1903.djvu",77274506,Vittoria Aganoor,,,,Casa editrice nazionale Roux e Viarengo,Torino,1903,{{IA|leggendaeterna00aganoor}},Vittoria Aganoor,Internet Archive identifier: leggendaeterna00aganoor,Public domain,pd,Public domain,False,false,1903 books|PD-old-100-expired|Uploaded with IA Upload|PD-scan (PD-old-auto-expired)|DjVu files in Italian|Scans from the Internet Archive/unverified|Images with extracted images|CC-PD-Mark|Scans from the Internet Archive|Books without Wikidata item|Books by Vittoria Aganoor,Creative Commons Attribution-Share Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.it,Wikisource work period=1903; author=Vittoria Aganoor; Commons license=Public domain,editor=; translator=; illustrator=; publisher=Casa editrice nazionale Roux e Viarengo,"https://commons.wikimedia.org/wiki/File:Aganoor_-_Leggenda_eterna,_Torino,_Roux,_1903.djvu",Attribute Italian Wikisource contributors through the stable work page/history; retain the CC BY-SA 4.0 license link and exact source-scan credit.,MediaWiki/ProofreadPage markup and identified apparatus were removed; spelling and punctuation of retained primary text were preserved.,Processed text remains inactive pending cross-archive and training-lineage freeze; redistributed adaptations must preserve applicable ShareAlike obligations.,2026-08-11T11:01:40Z,rights_pass,Commons marks the exact scan file non-copyrighted/public domain and Wikisource pins CC BY-SA 4.0 transcription terms.
itws-scan:569354,"Agostini - Guida illustrata di Montepiano e sue adiacenze, Ducci, Firenze, 1892.djvu","https://it.wikisource.org/wiki/Indice:Agostini_-_Guida_illustrata_di_Montepiano_e_sue_adiacenze,_Ducci,_Firenze,_1892.djvu",2825452,"File:Agostini - Guida illustrata di Montepiano e sue adiacenze, Ducci, Firenze, 1892.djvu","https://commons.wikimedia.org/wiki/File:Agostini_-_Guida_illustrata_di_Montepiano_e_sue_adiacenze,_Ducci,_Firenze,_1892.djvu",65995548,Ranieri Agostini,,,,E. Ducci,Firenze,1892,{{IA|GuidaMontepianoAgostini}},Ranieri Agostini,Internet Archive identifier: GuidaMontepianoAgostini,Public domain,pd,Public domain,False,false,Guida illustrata di Montepiano e sue adiacenze (1892)|PD-old-70-expired|Books with Wikidata item|DjVu files in Italian|Scans from the Internet Archive/unverified|Images with extracted images|CC-PD-Mark|Scans from the Internet Archive|Books with Wikidata item redundant image|Artworks digital representation of unclassified work|Books from Biblioteca Lazzerini di Prato,Creative Commons Attribution-Share Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.it,Wikisource work period=1892; author=Ranieri Agostini; Commons license=Public domain,editor=; translator=; illustrator=; publisher=E. Ducci,"https://commons.wikimedia.org/wiki/File:Agostini_-_Guida_illustrata_di_Montepiano_e_sue_adiacenze,_Ducci,_Firenze,_1892.djvu",Attribute Italian Wikisource contributors through the stable work page/history; retain the CC BY-SA 4.0 license link and exact source-scan credit.,MediaWiki/ProofreadPage markup and identified apparatus were removed; spelling and punctuation of retained primary text were preserved.,Processed text remains inactive pending cross-archive and training-lineage freeze; redistributed adaptations must preserve applicable ShareAlike obligations.,2026-08-11T11:01:40Z,rights_pass,Commons marks the exact scan file non-copyrighted/public domain and Wikisource pins CC BY-SA 4.0 transcription terms.
itws-scan:620851,"Agrippa - Di M. Camillo Agrippa Trattato di scienza d'arme, 1568.djvu","https://it.wikisource.org/wiki/Indice:Agrippa_-_Di_M._Camillo_Agrippa_Trattato_di_scienza_d'arme,_1568.djvu",2202428,"File:Agrippa - Di M. Camillo Agrippa Trattato di scienza d'arme, 1568.djvu","https://commons.wikimedia.org/wiki/File:Agrippa_-_Di_M._Camillo_Agrippa_Trattato_di_scienza_d%27arme,_1568.djvu",72341621,Camillo Agrippa,,,Giulio Fontana,Antonio Pinargenti,Venezia,1568,{{IA|TrattatoScienzaDArme}},Camillo Agrippa,Internet Archive identifier: TrattatoScienzaDArme,Public domain,pd,Public domain,False,false,Di M. Camillo Agrippa Trattato di scienza d'arme|PD-old-70-expired|Books with Wikidata item|Uploaded with IA Upload|DjVu files in Italian|Scans from the Internet Archive/unverified|Images with extracted images|CC-PD-Mark|Scans from the Internet Archive|Books with Wikidata item redundant image|Books with Wikidata item missing institution|Artworks digital representation of unclassified work,Creative Commons Attribution-Share Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.it,Wikisource work period=1568; author=Camillo Agrippa; Commons license=Public domain,editor=; translator=; illustrator=Giulio Fontana; publisher=Antonio Pinargenti,"https://commons.wikimedia.org/wiki/File:Agrippa_-_Di_M._Camillo_Agrippa_Trattato_di_scienza_d%27arme,_1568.djvu",Attribute Italian Wikisource contributors through the stable work page/history; retain the CC BY-SA 4.0 license link and exact source-scan credit.,MediaWiki/ProofreadPage markup and identified apparatus were removed; spelling and punctuation of retained primary text were preserved.,Processed text remains inactive pending cross-archive and training-lineage freeze; redistributed adaptations must preserve applicable ShareAlike obligations.,2026-08-11T11:01:40Z,rights_pass,Commons marks the exact scan file non-copyrighted/public domain and Wikisource pins CC BY-SA 4.0 transcription terms.
itws-scan:929690,Alamanni - Avarchide.djvu,https://it.wikisource.org/wiki/Indice:Alamanni_-_Avarchide.djvu,3357643,File:Alamanni - Avarchide.djvu,https://commons.wikimedia.org/wiki/File:Alamanni_-_Avarchide.djvu,148590879,Luigi Alamanni,,,,Giuseppe Antonelli Editore,Venezia,1841,{{GB|mRd5Ohw_wK0C}},Luigi Alamanni,Google Books ID: mRd5Ohw_wK0C,Public domain,pd,Public domain,False,false,PD Old|PD Old auto: no death date|DjVu files in Italian|Images with extracted images|PD US expired|Scans from Google Books|Italian Wikisource books|CC-PD-Mark|1841 books from Italy|Books without Wikidata item|Scans from Google Books/reviewed|Scans from Google Books needing review for watermarks|Scans from Google Books needing review for cover sheets,Creative Commons Attribution-Share Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.it,Wikisource work period=1841; author=Luigi Alamanni; Commons license=Public domain,editor=; translator=; illustrator=; publisher=Giuseppe Antonelli Editore,https://commons.wikimedia.org/wiki/File:Alamanni_-_Avarchide.djvu,Attribute Italian Wikisource contributors through the stable work page/history; retain the CC BY-SA 4.0 license link and exact source-scan credit.,MediaWiki/ProofreadPage markup and identified apparatus were removed; spelling and punctuation of retained primary text were preserved.,Processed text remains inactive pending cross-archive and training-lineage freeze; redistributed adaptations must preserve applicable ShareAlike obligations.,2026-08-11T11:01:40Z,rights_pass,Commons marks the exact scan file non-copyrighted/public domain and Wikisource pins CC BY-SA 4.0 transcription terms.
